t im envp envn
-0.15888 0.49212 0.86150 -0.86150
-0.15638 0.50006 0.86606 -0.86606
-0.15388 0.50809 0.87072 -0.87072
-0.15138 0.51623 0.87550 -0.87550
-0.14887 0.52448 0.88038 -0.88038
-0.14637 0.53283 0.88539 -0.88539
-0.14387 0.54131 0.89051 -0.89051
-0.14137 0.54991 0.89577 -0.89577
-0.13887 0.55863 0.90115 -0.90115
-0.13636 0.56749 0.90666 -0.90666
-0.13386 0.57648 0.91232 -0.91232
-0.13136 0.58562 0.91812 -0.91812
-0.12886 0.59490 0.92407 -0.92407
-0.12636 0.60434 0.93018 -0.93018
-0.12385 0.61395 0.93645 -0.93645
-0.12135 0.62372 0.94288 -0.94288
-0.11885 0.63368 0.94950 -0.94950
-0.11635 0.64382 0.95629 -0.95629
-0.11384 0.65415 0.96328 -0.96328
-0.11134 0.66469 0.97047 -0.97047
-0.10884 0.67544 0.97786 -0.97786
-0.10634 0.68642 0.98548 -0.98548
-0.10384 0.69763 0.99332 -0.99332
-0.10133 0.70909 1.00141 -1.00141
-0.09883 0.72082 1.00974 -1.00974
-0.09633 0.73282 1.01834 -1.01834
-0.09383 0.74511 1.02722 -1.02722
-0.09133 0.75771 1.03640 -1.03640
-0.08882 0.77063 1.04589 -1.04589
-0.08632 0.78390 1.05570 -1.05570
-0.08382 0.79754 1.06586 -1.06586
-0.08132 0.81156 1.07640 -1.07640
-0.07882 0.82600 1.08733 -1.08733
-0.07631 0.84088 1.09867 -1.09867
-0.07381 0.85624 1.11047 -1.11047
-0.07131 0.87209 1.12274 -1.12274
-0.06881 0.88849 1.13553 -1.13553
-0.06631 0.90548 1.14887 -1.14887
-0.06380 0.92309 1.16280 -1.16280
-0.06130 0.94139 1.17737 -1.17737
-0.05880 0.96042 1.19265 -1.19265
-0.05630 0.98026 1.20868 -1.20868
-0.05379 1.00098 1.22554 -1.22554
-0.05129 1.02266 1.24331 -1.24331
-0.04879 1.04540 1.26208 -1.26208
-0.04629 1.06931 1.28196 -1.28196
-0.04379 1.09453 1.30307 -1.30307
-0.04128 1.12121 1.32556 -1.32556
-0.03878 1.14954 1.34960 -1.34960
-0.03628 1.17973 1.37541 -1.37541
-0.03378 1.21205 1.40324 -1.40324
-0.03128 1.24685 1.43340 -1.43340
-0.02877 1.28452 1.46628 -1.46628
-0.02627 1.32559 1.50240 -1.50240
-0.02377 1.37076 1.54239 -1.54239
-0.02127 1.42093 1.58715 -1.58715
-0.01877 1.47736 1.63787 -1.63787
-0.01626 1.54186 1.69627 -1.69627
-0.01376 1.61713 1.76497 -1.76497
-0.01126 1.70752 1.84814 -1.84814
-0.00876 1.82069 1.95318 -1.95318
-0.00626 1.97219 2.09513 -2.09513
-0.00375 2.20217 2.31291 -2.31291
-0.00125 2.69673 2.78789 -2.78789
0.00125 2.69673 2.78789 -2.78789
0.00375 2.20217 2.31291 -2.31291
0.00626 1.97219 2.09513 -2.09513
0.00876 1.82069 1.95318 -1.95318
0.01126 1.70752 1.84814 -1.84814
0.01376 1.61713 1.76497 -1.76497
0.01626 1.54186 1.69627 -1.69627
0.01877 1.47736 1.63787 -1.63787
0.02127 1.42093 1.58715 -1.58715
0.02377 1.37076 1.54239 -1.54239
0.02627 1.32559 1.50240 -1.50240
0.02877 1.28452 1.46628 -1.46628
0.03128 1.24685 1.43340 -1.43340
0.03378 1.21205 1.40324 -1.40324
